"station","N_10","S_10","nmin","zeta","zeta_low","zeta_high","alpha","alpha_low","alpha_high","logk","logk_low","logk_high","logN_mean","logN_low","logN_high","KS","p_KS","CvM","p_CvM","data","rejected"
72,28.5397772209134,787,0.0008965092172353,3.50071427422875,2.74905051986758,4.79650954973939,1.85311956478547,1.34414780949091,2.69278116013678,-1.73226183965722,-1.97431389494819,-1.49047191776372,1.44003844776319,1.40197147187572,1.48118128000798,0.0215028095807771,0.33625,0.0796051969682566,0.10325,"metaG",0
76,54.1701247486687,928,0.0009037505648441,3.37362337820566,2.61360724463491,4.77454043334285,0.72473267942055,0.502805294105047,1.03274201963845,-1.84740792314438,-2.07655289513108,-1.64920077764024,1.78342462262023,1.7101678248805,1.90259822635079,0.0328488528722417,0.00375,0.209503165890827,5e-04,"metaG",1
78,22.0323177422238,591,0.0007077641729775,2.21133223872128,1.77096435795333,2.84872762801821,2.12020936084518,1.40785183227826,3.56011366444748,-1.4440654464459,-1.69233530392201,-1.15708937828681,1.34567612020184,1.30350938911132,1.39246595827424,0.0299735548440822,0.0995,0.0910639331171559,0.0565,"metaG",0
80,451.305000389366,16343,0.0004960499724416,6.66666666666667,6.08900935013786,6.73400673400673,1.41222551839362,1.35169234498375,1.51068838036218,-2.332032895934,-2.34928294789203,-2.2728164034724,2.5553741568797,2.54529447333272,2.56687946622345,0.094889543266289,0.00025,48.455276876461,0.00025,"metaG",1
81,78.9651885265422,4589,0.0004092594960992,6.66666666666667,5.35689653807945,6.73400673400673,0.582793472793542,0.516845020759982,0.688646699157806,-2.92236435942455,-2.94891657209098,-2.79153743319718,1.79540969000739,1.74634819515837,1.88970618625744,0.114410253672834,0.00025,18.1324222111811,0.00025,"metaG",1
82,405.277053735181,5341,0.000671727010143,2.5748011178803,2.34082592966473,2.86365425516277,0.57554924832675,0.484201619992021,0.681977089900844,-1.73394905174662,-1.81666352796715,-1.65495195276427,2.64081248241664,2.59236863563979,2.73320707218878,0.00736651398016058,0.55525,0.0682177264342771,0.159,"metaG",0
84,1940.42204804977,47402,0.0005511666360462,6.66666666666667,6.22540066641462,6.73400673400673,0.530967953152435,0.510702702656248,0.559236556903464,-2.61438530916089,-2.62574823600125,-2.57465748524103,3.15816488609222,3.13376488267771,3.20629625621675,0.0772847248134463,0.00025,88.2727814354798,0.00025,"metaG",1
85,1804.69788644021,36493,0.0008697979392479,6.66666666666667,6.12590203790979,6.73400673400673,0.353840885287669,0.334418853840324,0.380769812018056,-2.60304842275652,-2.61534163467248,-2.55486102196352,3.22624667791677,3.17919846760735,3.33878942512553,0.0468801864383125,0.00025,22.2256518058074,0.00025,"metaG",1
92,259.866958281566,11244,0.0004593055300385,6.66666666666667,5.95276943049074,6.73400673400673,1.1582804997897,1.09705016496349,1.26124835381834,-2.49299874215005,-2.51158964338334,-2.4211002694728,2.31776240142271,2.30284916395035,2.33508698025236,0.104134381043552,0.00025,37.6538756536821,0.00025,"metaG",1
98,29.9047027849304,490,0.0025239777889954,2.00776467362198,1.36900481210256,3.17705185287371,0.841100228698665,0.472194927204356,1.55097679942153,-1.53389586889165,-1.86989004652728,-1.18442751864276,1.53557215275215,1.44960797366931,1.66536092238868,0.0530520429382199,0.00025,0.329024117275375,0.00025,"metaG",1
100,587.747769019596,7533,0.0009030024832568,6.66666666666667,5.47786363817054,6.73400673400673,0.0776221126608723,0.0470688914933031,0.12137631634352,-2.58360567785854,-2.6046422828339,-2.47114086540783,2.99269019722432,2.81696007138025,3.51140695474269,0.0940826267628606,0.00025,16.1567559617461,0.00025,"metaG",1
102,712.186614933685,4714,0.0001837222120154,1.62644152748958,1.50066531576925,1.78427400059484,0.0978713333317114,0.0374736242822284,0.16618909533446,-1.53072390125287,-1.61036155951977,-1.457036158415,3.16827070560721,2.98900645575012,3.6551223129686,0.0235202455683774,0.00025,0.807480053600622,0.00025,"metaG",1
109,91.4758689601662,3246,0.0007141764015711,6.66666666666667,5.40844180988088,6.73400673400673,1.1014265691224,0.995769948361364,1.28346145450174,-2.33515856905896,-2.36498132934799,-2.20198551606245,1.9582667768664,1.93077452193675,1.99481595636965,0.051943959517364,0.00025,2.40317799700451,0.00025,"metaG",1
110,289.161152865651,3946,0.0009184512012374,2.37833760178609,2.13061627361678,2.6853066232871,0.649037424080143,0.530852979065277,0.783091253947954,-1.63792260485412,-1.7346223332725,-1.54464019882271,2.51965691028476,2.47095058314118,2.59992571810306,0.0269364458385158,0.00025,0.601698065612652,0.00025,"metaG",1
111,218.02979104231,2820,0.0012648958125291,2.82098135570472,2.41086395535692,3.39040433445181,0.379423964285325,0.277983073216058,0.497357891354247,-1.83641382778066,-1.96510126662802,-1.71817051719255,2.47001773827599,2.3798581189722,2.67341739650097,0.0216798448110898,0.00025,0.326347581558206,0.00025,"metaG",1
122,1068.21424354722,11189,0.0003397473515149,6.66666666666667,5.68922325353896,6.73400673400673,0.0247400513772056,-0.00027676556173441,0.0592091098430392,-2.56336030477707,-2.58100695912752,-2.47286618562333,3.32283187160057,3.12461961239889,3.90581360254903,0.0660566507899992,0.00025,12.5126070981592,0.00025,"metaG",1
123,486.712458130905,13332,0.0003088612286499,6.66666666666667,5.88267524800673,6.73400673400673,0.511523169442147,0.476265189583193,0.564125620338337,-2.55241192293261,-2.56941532730699,-2.47887092854097,2.68392189442598,2.64465257013536,2.76258192561146,0.0570030951461556,0.00025,10.1320708424046,0.00025,"metaG",1
124,493.179822078221,4588,0.000539374325782,2.16719528583362,1.95699576140254,2.43482179584279,0.153652764558114,0.0889695683391313,0.226640373737002,-1.74390086906162,-1.83331868872255,-1.65779851389151,2.96478848670206,2.81314898726463,3.36680763500594,0.0431754157141402,0.00025,3.30997515101778,0.00025,"metaG",1
125,717.375951026482,6502,0.0004941779658399,3.19710750953474,2.85472426455084,3.63145776889628,0.121638605282488,0.073083597716251,0.174256278862501,-1.95904303410614,-2.04226899852933,-1.87998460725485,3.13902272226112,2.98394531746089,3.57327395289229,0.0211283070695641,0.00025,0.62901710725389,0.00025,"metaG",1
128,88.0351404229534,1942,0.0013157894736842,2.66449425676799,2.26946661918811,3.21710465486343,1.10807377873177,0.874273405286024,1.41439798331313,-1.69808568221777,-1.84554571031233,-1.55474377978192,1.97128679850984,1.93482262560735,2.02133258833645,0.0268676802716965,0.00025,0.36329404418585,0.00025,"metaG",1
131,94.0215553171695,736,0.0014788921753159,5.72644508393015,3.19703800143682,6.73400673400673,-0.113668665230384,-0.19695862278746,0.0100744692634859,-2.46947234889463,-2.6042615580921,-2.12133444658254,2.42336137273672,2.02642832092716,3.44694120912897,0.0307219417982146,0.06375,0.139776759258868,0.02325,"metaG",0
132,59.6382884239029,1267,0.0015410479125805,5.10163042101429,3.78432077166602,6.73400673400673,0.872050886921694,0.673527728168876,1.1557907715272,-2.07530028004576,-2.25291342865086,-1.86901423661773,1.79324727872045,1.74048312993762,1.87067701950317,0.0136542873658891,0.729,0.0502544211791987,0.35425,"metaG",0
135,34.7230070811731,994,0.0014002333722287,2.37538818319005,1.87230623849005,3.09421223730773,1.48509084990664,1.08685360355595,2.17325623710836,-1.67141633311518,-1.87973290306862,-1.44403434925636,1.53192936404017,1.49162924255145,1.58016837346753,0.0223863530828188,0.1195,0.0457724152574341,0.37875,"metaG",0
136,62.3544960307298,1528,0.0008673967255773,2.93978932688866,2.45618037138233,3.63443847975276,1.24878358323685,0.967642339038701,1.62581428059671,-1.75282516369183,-1.91310902311478,-1.59490912811015,1.80238454416695,1.76564180476537,1.85053746350729,0.0252667434431181,0.0035,0.177996318624747,0.0015,"metaG",0
137,61.609047385012,1604,0.0005603182607721,2.27610909110686,1.98412345594198,2.65484477857369,2.10538782598599,1.64331097458617,2.82686705910493,-1.45345717797253,-1.60398873299005,-1.29065162239298,1.78555697448215,1.75933185683409,1.81447777270635,0.0170868191368796,0.16725,0.0718613287059052,0.14125,"metaG",0
138,27.2726851268689,917,0.0006852925672113,2.61833665322504,2.17579791627086,3.26035083782141,2.82528792761532,2.03075255981684,4.30032185216933,-1.50963730656455,-1.71924117010146,-1.27289956344619,1.41963821148962,1.39044784026788,1.45024356256284,0.0211079808297744,0.2475,0.0955374982172748,0.051,"metaG",0
142,22.8503977943592,749,0.00023883887562,2.16289944486504,1.82866462674412,2.61910198805014,4.19494874017335,2.77984153744678,7.93038145356106,-1.23292264413569,-1.47166255375181,-0.907884146745055,1.35362181607045,1.32339903070942,1.38345493418875,0.0172382054843996,0.75575,0.0399481925274845,0.53525,"metaG",0
143,23.4113984922377,749,0.000896151818661,2.84448028699229,2.2988112328059,3.70995134332137,3.01138024830704,2.09950127337626,4.84547225466186,-1.50045106593493,-1.74969947940019,-1.220020034285,1.34920682090346,1.31764509631891,1.38062823983987,0.020492315730515,0.4465,0.0470088496569462,0.388,"metaG",0
144,54.7442067719183,1498,0.0007687576875768,2.46887861654712,2.14085771761468,2.90399839219963,2.4287480179697,1.87177700037431,3.33712081416191,-1.44591946870788,-1.60697506482857,-1.26447671228101,1.73688770720172,1.71177318294389,1.76289128776075,0.0137526120820692,0.5635,0.0521186990082731,0.31775,"metaG",0
145,183.816768999531,2700,0.0008701116643302,6.66666666666667,4.5643610404637,6.73400673400673,-0.100060461885244,-0.140559748917046,-0.0357987420441797,-2.8208878241929,-2.85300856700182,-2.61197491312782,2.76566829152486,2.41265092816937,3.6765955473989,0.0345095180334022,0.00025,0.675039508153799,0.00025,"metaG",1
146,64.887852388778,1495,0.0006074596039363,3.47405484443928,2.85572631617783,4.46051323975995,0.903821056730411,0.693988869600678,1.16677764363412,-1.92372421765571,-2.09730670911299,-1.76980704067168,1.83385390527549,1.78531511850844,1.90722664747015,0.0274411264582293,0.002,0.188718093243936,0.00225,"metaG",0
147,35.2440702822905,1041,0.0002939555392246,2.92553094237372,2.43544490248736,3.69551529387264,1.70288552046759,1.28485487694968,2.36309886144214,-1.70548129120818,-1.89525520100154,-1.51436621613485,1.54648689805355,1.51055611149667,1.58702612638969,0.03139865429225,0.003,0.136652081672391,0.00875,"metaG",0
148,51.2058619026897,1357,0.0006797721844571,2.76396538047843,2.34258887259698,3.36626847316218,1.96469967898741,1.52425166286611,2.67296769438762,-1.57787349078202,-1.7469899726402,-1.39616801645098,1.70280211082117,1.67384197886057,1.73404587621955,0.0190488335497506,0.13975,0.0911558880632987,0.06,"metaG",0
149,74.9972080766512,2775,0.0007988815658078,6.66666666666667,4.96563516201543,6.73400673400673,0.405622149802108,0.335099387392669,0.522914340354844,-2.65745296522292,-2.68816355040288,-2.48271832848141,1.98810905292376,1.90642775138504,2.15886831351052,0.0361553078561384,0.00025,1.15853156958056,0.00025,"metaG",1
150,45.6043728822559,1306,0.0004225610876354,2.65848421207947,2.26183689295876,3.19677449028573,2.25579364918515,1.735354503486,3.08868306785487,-1.54945775156525,-1.71916998889813,-1.36484318398026,1.6379566390985,1.6112710769129,1.66702739389488,0.0224223414884245,0.04275,0.141841768898295,0.007,"metaG",0
151,21.8206385245572,774,0.0008376086273688,4.30070935825726,3.2823740340731,6.35841454327966,1.9113315479427,1.41233331096367,2.70858108149809,-1.93497224443533,-2.19667446670862,-1.6997273854257,1.30554502212237,1.26988300722824,1.34491818686328,0.0244147623227213,0.165,0.0624519417540215,0.2045,"metaG",0
152,99.2980792740448,2580,0.0004859956516178,6.66666666666667,5.07455285966647,6.73400673400673,0.236369891708216,0.17288411107432,0.330253451795447,-2.63388265832178,-2.66555462815533,-2.47235097392859,2.17968390321084,2.0509554349001,2.53744802977972,0.0451937557101296,0.00025,1.63808410529745,0.00025,"metaG",1
155,3620.91928365464,51744,0.0001837222120154,5.52126245902748,5.2725389311693,5.80160083311631,1.27700803307362,1.22903873835091,1.3259537286307,-2.02540742459222,-2.05799256963117,-1.99450174959865,3.32428764168405,3.31758010385313,3.33192065706554,0.0656948069181132,0.00025,45.1606426357259,0.00025,"metaG",1
158,199.540771708482,10917,0.0009419152276295,6.66666666666667,5.70283010828568,6.73400673400673,1.1533358766657,1.08845607506463,1.26082286627015,-2.6806061930199,-2.69986707802467,-2.58604621638839,2.12032569563131,2.10490545455081,2.13837396260491,0.0833719335657166,0.00025,23.1069278125509,0.00025,"metaG",1
168,54.6436837136135,1419,0.000705467372134,3.35425300268931,2.73414465595085,4.35934085266494,0.989098704616371,0.757975940642923,1.29558200089214,-1.95227809072335,-2.1357506959415,-1.78252895274557,1.72870455691408,1.68222497703516,1.79191615956051,0.0186494250265845,0.134,0.0571654248575058,0.24925,"metaG",0
173,6447.76160592933,123737,0.0007228306046478,3.83175777857666,3.72844401469467,3.94335850106035,0.611842852653255,0.592595613067895,0.631260174054931,-2.06859295074623,-2.0875357825485,-2.04960068762332,3.82040474017116,3.80622168415535,3.84793218579708,0.0194925318217003,0.00025,11.796989842519,0.00025,"metaG",1
175,3105.73173311081,43715,0.0002895727485718,6.66666666666667,6.29428499771051,6.73400673400673,1.25439161001546,1.21907537712193,1.30610044047057,-2.11318651583668,-2.12555386224062,-2.07560954930885,3.25282957213883,3.24565364702921,3.26093161096429,0.0383154985658152,0.00025,17.6068329408605,0.00025,"metaG",1
178,36.1511087190677,926,0.0005650297924799,3.35898274310444,2.65459479858367,4.58226811518302,1.23218250970246,0.899453940157254,1.71938913917622,-1.9455469944741,-2.17016851466912,-1.73980533007947,1.45545793416284,1.40830832187427,1.517299649475,0.0311119942225314,0.00675,0.234610944792818,5e-04,"metaG",1
180,170.11354709644,6316,0.0006270499710592,6.66666666666667,5.66534703391328,6.73400673400673,1.10875587609451,1.0310608604929,1.2415438573781,-2.51822843930659,-2.54095822512751,-2.41474680696488,2.06117721518305,2.04061022751627,2.08724809940789,0.130395057162502,0.00025,32.2098583861327,0.00025,"metaG",1
188,19118.3676034872,186620,0.0006416238917405,6.66666666666667,6.39017590052172,6.73400673400673,0.00771467645225865,0.00154097354217327,0.0153458204401011,-2.58528450380196,-2.59326396151991,-2.56177862294792,4.6651017665049,4.49321858673016,5.2203546863412,0.0414176183481628,0.00025,90.257219889656,0.00025,"metaG",1
189,1143.1202624447,23369,0.0006926646810279,3.24955730022497,3.12798431805405,3.3880722092826,3.87075142474103,3.60549530804561,4.17314864509426,-1.30984934385438,-1.35560508426719,-1.26467823602275,2.98285787086882,2.97808174150541,2.98767088547379,0.0694785586183557,0.00025,43.9055480606241,0.00025,"metaG",1
191,852.198666174373,29315,0.0003541285486631,6.66666666666667,6.14790841982925,6.73400673400673,0.718045047654661,0.688417044837494,0.76042817497592,-2.66674075336909,-2.68027322345226,-2.61807879570155,2.76779346736502,2.74908909531495,2.79937797039055,0.0442741216581417,0.00025,21.6167773991981,0.00025,"metaG",1
193,1366.35799877472,29860,0.0008702462796971,6.66666666666667,6.14446229191883,6.73400673400673,0.691750506863113,0.663818895694238,0.733899130294145,-2.50816454794383,-2.52117224700323,-2.45912668490706,2.95036726396949,2.93113640333149,2.98197680420738,0.0732556468649366,0.00025,38.9877740187998,0.00025,"metaG",1
194,2627.16048439527,81956,0.0007854842510407,6.66666666666667,6.39208213712419,6.73400673400673,1.54365416181159,1.51234588916595,1.58835011660021,-2.32742297733911,-2.33802425907373,-2.3011075439977,3.22156117605264,3.21723895453631,3.22594759183813,0.0538972275296877,0.00025,83.3025531082717,0.00025,"metaG",1
196,1738.24763856148,45518,0.0003246178362745,6.66666666666667,6.27007241593393,6.73400673400673,1.03708958366368,1.00754668676963,1.08108684917602,-2.41800532208536,-2.42985879024039,-2.38064157593849,3.04836813254115,3.03917232774013,3.05969671058387,0.0486211026491017,0.00025,32.407899919292,0.00025,"metaG",1
201,3132.01115474535,49991,0.0004336983627886,1.61360433387434,1.5806893522088,1.64978684924169,2.36526673194908,2.24201651293277,2.50129503472609,-1.0748871078287,-1.10318085949513,-1.04664215203196,3.45835956600908,3.45319764094785,3.4635056684584,0.0404700981522091,0.00025,30.6291639793666,0.00025,"metaG",1
205,25157.3276810803,238155,0.0005075111652456,3.87061076817797,3.80037823494377,3.94911153015522,0.633101563567142,0.618780743228859,0.647225766011266,-1.89736005260439,-1.91104572453386,-1.88445425474577,4.26547950049311,4.25502927640324,4.28310384917865,0.0220570671295915,0.00025,37.7962556361993,0.00025,"metaG",1
206,614.494389409488,13893,0.0006650778695338,6.66666666666667,5.84746262675716,6.73400673400673,0.4205657969744,0.388274489621152,0.470030750081682,-2.58948797676002,-2.60553700429123,-2.51339680865249,2.7479706494563,2.69732487620941,2.86302627404622,0.075313558373314,0.00025,23.3068470162492,0.00025,"metaG",1
208,79.3588977745376,2203,0.0009186954524575,6.66666666666667,4.61685407044298,6.73400673400673,0.199663188840334,0.137996147485944,0.302872700948883,-2.77598907226381,-2.80929346314805,-2.56726798899135,2.01619370949454,1.87319894080315,2.38880402964522,0.0504344181672681,0.00025,1.71153878751113,0.00025,"metaG",1
209,1400.20706332243,22125,0.0002632479532471,6.66666666666667,6.02486158680976,6.73400673400673,0.388407685123043,0.363813491325252,0.425759146760509,-2.60662299753626,-2.62069010357566,-2.54781900135074,2.96826833621466,2.91792162771381,3.10369433673779,0.0595894714826941,0.00025,22.321073066932,0.00025,"metaG",1
210,387.927781391575,7513,0.0003397473515149,6.66666666666667,5.61651026081202,6.73400673400673,0.180924191257186,0.14598512744514,0.231473133099037,-2.70555534778015,-2.72589617249687,-2.60566991432186,2.66213530067053,2.54347152357315,2.96537454225791,0.083700292830649,0.00025,13.7023658215762,0.00025,"metaG",1
7,54.4850083886559,441,0.0005371530886302,3.16385680849185,2.22884392832329,5.74351425142879,0.226102538412415,0.0371070167943381,0.500511037160853,-1.86085558544812,-2.22533230836862,-1.58650934312419,1.83496017963362,1.64348526923889,2.28395176444485,0.0238636973706239,0.6195,0.0337717091140858,0.638,"metaT",0
11,22.0008347395683,167,0.0044910179640718,1.14332169346356,0.494762645927871,2.94367262974068,0.809566201896775,0.215621732488836,5.05953371885272,-1.10608610325088,-1.76750710216489,-0.135893696848467,1.2833481344273,1.13720234371272,1.51423164917306,0.0588307438358541,0.035,0.0715260192285837,0.09475,"metaT",0
18,54.7400599719865,368,0.0029612081729345,3.16730130332623,1.7225409094303,6.73400673400673,0.0922257830548654,-0.0760907333439345,0.392810033519267,-1.9199447096396,-2.35905394498436,-1.49240334516871,1.89040364357869,1.62515077429005,2.54224465730496,0.0235534785966192,0.7615,0.048425458926734,0.341,"metaT",0
22,39.0591208319734,608,0.0009016319538364,2.18999490057756,1.70710917271095,2.97939198216041,1.02026533348658,0.643882833569488,1.65184055387154,-1.52341673021252,-1.77750425971646,-1.26477448157543,1.59157432403847,1.52414876753293,1.69010177329893,0.0375273416511085,0.00625,0.178898791345179,0.00075,"metaT",0
23,88.5270400575944,618,0.001504244117331,6.66666666666667,3.71157797429258,6.73400673400673,0.057871283732712,-0.0404295460979124,0.232254291947411,-2.34956485145747,-2.40463419889457,-2.00032968214265,2.09767311791606,1.83456153724941,2.74248224326128,0.03267402569598,0.0845,0.144059905503348,0.02175,"metaT",0
25,86.1241480474582,792,0.0004859956516178,3.55904212941882,2.69063727248816,5.42379958394615,0.566250380041934,0.363474326957702,0.854744718040768,-1.7294501741047,-1.9953762743975,-1.50914786703944,1.95739033329451,1.86455552136554,2.13026756994787,0.0192175788754729,0.5225,0.0438585190290257,0.466,"metaT",0
26,20.8369948854461,587,0.0012955045990413,5.23047906311736,3.47943134937689,6.73400673400673,1.07418893247434,0.784540922592829,1.6098563391341,-2.13482604835345,-2.32475166998456,-1.83790494361808,1.31972565885546,1.26047196253471,1.40550348958195,0.0223876406050663,0.52475,0.0526022164478519,0.33675,"metaT",0
30,61.4563712545891,535,0.0039460703715882,6.66666666666667,2.84437131177091,6.73400673400673,0.162746926581435,0.0447279268794613,0.415326985871624,-2.31416107459024,-2.38088556318089,-1.82555934238035,1.88979044197006,1.67932491454976,2.38506109616689,0.0291197685900484,0.2245,0.0911005532856925,0.09125,"metaT",0
36,68.252178461987,580,0.0002844729492086,1.56969908198483,1.26520461130177,2.01967033201209,0.461308089578235,0.215951801721753,0.863631531748085,-1.51001218123587,-1.73450939298158,-1.26933163939929,1.7627138599091,1.63295388749893,2.01733357054705,0.0408197331293715,0.003,0.19058369737425,0.00075,"metaT",0
38,52.8581446218043,432,0.0053346265761396,3.1768882227368,1.94448567276933,6.50445043649556,0.676069717886506,0.37078677095025,1.22228024028899,-1.54285243856287,-1.96675771243514,-1.16767308634323,1.76004161832721,1.65890253665696,1.93777387620991,0.0327329697687217,0.1385,0.0796354350552988,0.0755,"metaT",0
39,152.249078720619,640,0.000650547544183,1.57685807149047,1.27528489497377,2.03225038059871,0.493341110834112,0.248618551334112,0.874269885113228,-1.21606576688864,-1.43704863200202,-0.987832367277622,2.07772870456096,1.95836711443565,2.31507146631861,0.051752121834446,5e-04,0.383260131235022,0.00025,"metaT",1
41,114.409801659877,325,0.0008275576704251,2.3948273408264,1.58604902108174,4.85142340991638,-0.0513265046597788,-0.210034023530383,0.198560783539743,-1.77027432648854,-2.21032073923305,-1.43860825845676,2.13006295042251,1.75895947471312,2.96553427860005,0.0312513405901918,0.40575,0.0604292945354909,0.22,"metaT",0
