"station","N_10","S_10","nmin","zeta","zeta_low","zeta_high","alpha","alpha_low","alpha_high","logk","logk_low","logk_high","logN_mean","logN_low","logN_high","KS","p_KS","CvM","p_CvM","data","subset","rejected"
52,13.1856081341647,525,0.0007077641729775,3.2523901265338,2.45382708636222,4.76109421186621,2.01334822202811,1.35101321960198,3.29187490807217,-1.82915579741379,-2.11816626891232,-1.53418274308785,1.09914950073589,1.05498508180934,1.14782311109362,0.0534412887828227,0.00025,0.328376661425251,0.00025,"metaG","core",1
64,34.2625662951045,1230,0.0005317349059796,3.62306253220637,2.95280850092882,4.74415147258361,1.18344405537249,0.897541049696562,1.55869847643011,-2.02710545536471,-2.22326561948374,-1.85210237977836,1.54783022744214,1.50671940317437,1.60105794161157,0.0463182719330847,0.00025,0.628578059926374,0.00025,"metaG","core",1
65,50.6091401055427,1378,0.0006787463849377,2.82491454737407,2.31312884601224,3.60417681872157,0.713118006183092,0.520112096359908,0.968721338519034,-1.97284367142035,-2.14482578661451,-1.81040943522318,1.76114901971087,1.69585558580332,1.86751307834608,0.0291001530057219,5e-04,0.292478867263405,0.00025,"metaG","core",1
66,54.7704137613081,1124,0.0005059814232534,5.08778527491472,3.55407845124914,6.73400673400673,0.087491309432949,-0.0106595156773894,0.216397991924543,-2.63226703580306,-2.81064024501042,-2.40433440669914,1.92109725154028,1.70119910061862,2.51514927903274,0.0322249536868672,0.00175,0.240352283500495,0.001,"metaG","core",0
67,29.5290867077486,1167,0.0008810572687224,6.73400673400673,3.41854501610419,6.73400673400673,0.155402579467132,0.0719758677098489,0.311068395757404,-3.02244537753211,-3.06619435783067,-2.64268464030443,1.55143592019649,1.37289581056937,1.97634666634395,0.0886058331831495,0.00025,2.41952349654534,0.00025,"metaG","core",1
68,11.3846776237544,382,0.0002586117720078,2.22974917453037,1.70097300651888,3.2096436169201,1.39667404208092,0.828884007967957,2.51496850276276,-1.74809961453431,-2.05437278212873,-1.43365760146656,1.0363649027355,0.967150468426587,1.12320086438204,0.031161139103337,0.283,0.0567769285570401,0.255,"metaG","core",0
70,16.3060242858285,601,0.0010210332856851,2.39506805890159,1.86084400697644,3.17668004945645,2.62841216603978,1.7447419771622,4.7426591708344,-1.54126345545598,-1.80686226295831,-1.20977374572724,1.19832554091569,1.16127319204435,1.23776396733265,0.0246412114507695,0.3235,0.0720292551309539,0.13925,"metaG","core",0
72,11.4621968501284,343,0.0008965092172353,2.78194749239057,1.97489093865495,4.39737870880818,2.07964642926835,1.24886735392221,4.15532134119669,-1.63359464530143,-2.00116505089991,-1.23578985708778,1.0275434872915,0.974243460900158,1.09146788773639,0.0294354143716422,0.46975,0.0520066276757476,0.32175,"metaG","core",0
76,21.8324973157263,383,0.0009037505648441,2.12469465220366,1.52690565749245,3.26747327848917,0.693246890573529,0.352660710702529,1.3108414365455,-1.65700602524099,-1.9821903006465,-1.34688395455499,1.40342571082883,1.29616842898083,1.56344129258614,0.0412429157169435,0.03,0.167518037290851,0.002,"metaG","core",0
78,9.13758984650331,285,0.0007077641729775,1.41355929325829,1.09635250067103,1.91664962378687,6.01226048260029,2.65183579319495,175.307539805025,-0.866866676038569,-1.32169146653826,0.669505565376692,0.961901745036631,0.91162653056998,1.01237808551609,0.0650842169996291,0.00075,0.222270409267684,5e-04,"metaG","core",1
80,121.533721316831,5574,0.0004960499724416,6.73400673400673,5.80790254635282,6.73400673400673,1.84377072286174,1.72428319551731,2.06224660311514,-2.31327757837059,-2.3334180421669,-2.21128074326018,1.99544979280269,1.98220078488275,2.01047357475645,0.0906989924552681,0.00025,13.8473380003194,0.00025,"metaG","core",1
81,24.6453977809964,1821,0.0004092594960992,6.73400673400673,4.86936626437084,6.73400673400673,0.880952998213131,0.757579929559739,1.10845004059237,-2.91633957860789,-2.94981878721584,-2.70831172877366,1.22550856327074,1.18144418015894,1.29095218048344,0.121179002905322,0.00025,8.27889793477874,0.00025,"metaG","core",1
82,79.0133557428349,1272,0.000671727010143,2.00291918310167,1.65286417759991,2.51935270890681,0.361865917761873,0.208780374130599,0.567577770556125,-1.81417554251334,-1.99070481522493,-1.64685133168724,2.00557089603474,1.88895781559202,2.2705658377669,0.0204860799608891,0.08925,0.11516943833874,0.01725,"metaG","core",0
84,296.91038219626,13389,0.0005511666360462,6.73400673400673,6.04586156305365,6.73400673400673,1.32981159937552,1.27129766484124,1.43105134457111,-2.54455807817374,-2.5570941939778,-2.47556328737561,2.28678508714454,2.27491674060085,2.30012636313999,0.0638131473493765,0.00025,18.1621515271366,0.00025,"metaG","core",1
85,412.557101945627,9979,0.0011023148612085,6.73400673400673,5.63839138748749,6.73400673400673,0.643096464049618,0.600245759862741,0.716618444295945,-2.6369639918238,-2.65016422735754,-2.53446056088695,2.3805312632364,2.34868396084906,2.43754064449311,0.0647551292974294,0.00025,11.9298836649956,0.00025,"metaG","core",1
92,76.5861851400878,4018,0.0004593055300385,6.73400673400673,5.60012724172875,6.73400673400673,1.44174316782264,1.33342386215875,1.65240499604052,-2.50344793570812,-2.52613608353045,-2.38320746855609,1.76967908397691,1.75033733771264,1.79305352111649,0.102637988491719,0.00025,12.8789055594661,0.00025,"metaG","core",1
98,10.204116116644,182,0.0025239777889954,6.3280193946734,1.75509677131169,6.73400673400673,0.142037694762343,-0.0534031070635492,0.684419362822945,-2.47780312857976,-2.61299933355996,-1.68411690062662,1.23194260153242,0.957603213405248,1.83560926480742,0.0627755142071019,0.0405,0.124197618783175,0.02825,"metaG","core",0
100,111.754858935992,2150,0.0009030024832568,6.73400673400673,4.90146819345361,6.73400673400673,0.37087022113096,0.299574464713869,0.49713840104598,-2.56877150448456,-2.59621846560639,-2.38195928775211,2.00523035795901,1.9091005368411,2.22165914295597,0.100739931858929,0.00025,5.60349704008738,0.00025,"metaG","core",1
102,103.337661553671,1130,0.0001837222120154,1.98807644529807,1.64242992691289,2.53890018457462,0.00769604158200954,-0.0924917289826709,0.134129989491948,-1.93737090252652,-2.11675872686421,-1.77450004290277,2.37260729786692,2.0909410131627,3.10192243383886,0.0484737804213866,0.00025,0.713568196709546,0.00025,"metaG","core",1
109,28.5562726550884,1083,0.0007141764015711,6.73400673400673,4.68111097920241,6.73400673400673,0.962986643559836,0.801143904190166,1.27981671027135,-2.42661958082003,-2.47078574796031,-2.18601725531908,1.45086567688883,1.40111869635009,1.52033336754817,0.068272498031946,0.00025,1.14266796480726,0.00025,"metaG","core",1
110,67.8044665403103,1213,0.0009184512012374,2.91225404103233,2.3006131658973,3.88259853278828,0.476467808125525,0.3074618556548,0.701441693016504,-1.96216466455857,-2.16220055887933,-1.77858382268473,1.89412876904038,1.79751675558719,2.09290703879792,0.0338580467138124,5e-04,0.437883178218959,0.00025,"metaG","core",1
111,35.6815350993849,842,0.0012648958125291,3.96111421680846,2.82282659909376,6.49487903270176,0.585379891082912,0.377053407459771,0.876583278310454,-2.14660490040704,-2.43754973238188,-1.89936156675883,1.60049684220058,1.5129775820396,1.75499019874888,0.027141547979017,0.05125,0.123258141412628,0.01525,"metaG","core",0
122,205.78803167703,3063,0.0003397473515149,6.73400673400673,5.19258966714306,6.73400673400673,0.220073536050431,0.164459228992845,0.309904342891838,-2.58032637312325,-2.60443567754888,-2.42750936219155,2.33480820570115,2.20540111401095,2.69549667612853,0.0842739902625166,0.00025,5.16194197210559,0.00025,"metaG","core",1
123,117.553190783246,3981,0.0003088612286499,6.73400673400673,5.42208008819629,6.73400673400673,0.521818267475447,0.462830732504179,0.626481172567459,-2.64680098836962,-2.66716853468152,-2.51803408849324,2.05999669807812,2.00229488322727,2.18101794763734,0.0506899270832464,0.00025,2.05855596538578,0.00025,"metaG","core",1
124,80.6637402026906,1150,0.000539374325782,6.73400673400673,4.35098995286792,6.73400673400673,0.0354597504570766,-0.0330811252719664,0.156550226691347,-2.61300986448784,-2.65119101661798,-2.35142694379544,2.17464809174339,1.91968306332837,2.79780419258842,0.0353060661212082,0.0015,0.392258214076675,0.00025,"metaG","core",1
125,127.17661497386,1670,0.0004941779658399,4.32085734210365,3.37068678029066,6.20997311293281,0.205516680755958,0.107497049043263,0.32874066701415,-2.24580670283502,-2.45651749009349,-2.08057847318627,2.21991075678352,2.06879184145087,2.59489447428739,0.0147234191286107,0.38425,0.040060525604539,0.55375,"metaG","core",0
128,25.8402388379736,618,0.0013157894736842,5.42217179566348,3.0665927291338,6.73400673400673,0.238080463622451,0.104623145691454,0.471360480120315,-2.50954003035717,-2.67368389765187,-2.15472797544142,1.56319487175607,1.39190074793074,1.9464078951406,0.0367071677536045,0.02025,0.189599654500206,0.00375,"metaG","core",0
131,20.8434194584584,237,0.0014788921753159,6.73400673400673,2.29435976892427,6.73400673400673,0.0401474277909559,-0.105398998502617,0.388849342664754,-2.6775356104998,-2.76359880123648,-2.01826013803967,1.34121650706289,1.02400978999695,2.11778508573561,0.063832293384926,0.01,0.196933554847981,0.00225,"metaG","core",0
132,21.3671999087936,527,0.0015410479125805,4.37309995343897,2.86209892368929,6.73400673400673,0.861376010441472,0.569842720943127,1.35545706413731,-2.0881830781652,-2.37070871463168,-1.77947656204278,1.33738510770551,1.26136832347403,1.46167067121244,0.0362733174505926,0.0285,0.0932682272276456,0.05975,"metaG","core",0
135,12.8310877333536,450,0.0014090460758066,2.28319013057785,1.56075735268745,3.65942954401393,1.33109260074832,0.816636980755124,2.51135660462397,-1.77449707576192,-2.12872267500008,-1.39802363260741,1.11529406164013,1.05215219696697,1.19131823120448,0.0314036012223654,0.16,0.0623624008998003,0.17875,"metaG","core",0
136,25.0916667950686,632,0.0008673967255773,3.4404718542429,2.43402363170115,5.6250072975156,0.620728933050104,0.374785429358211,1.0010766416627,-2.11119286532994,-2.43047160672494,-1.84341011122316,1.42471830645927,1.33023119713725,1.58501289317944,0.0267029017648319,0.1725,0.0773940602679621,0.10325,"metaG","core",0
137,22.5286929866673,620,0.0005603182607721,2.05038196685258,1.63109636623744,2.71779050089924,1.31602377584578,0.853407337881845,2.11914434137568,-1.63609308408275,-1.87096185548746,-1.37973822600998,1.34903681195802,1.29101755486352,1.42288356532385,0.0261005295426532,0.20625,0.0999065395993442,0.037,"metaG","core",0
138,12.9272411437977,435,0.0008534243652656,2.53790004137717,1.90607771268369,3.73793238307798,2.05545608645648,1.30510600651803,3.81597939785234,-1.65112096955877,-1.97147491837568,-1.30355057621903,1.07904416246578,1.02976592271539,1.1334022190486,0.0344883309070761,0.0925,0.0638386748741288,0.182,"metaG","core",0
142,9.48429717692778,363,0.00023883887562,1.84898507007959,1.4982936889854,2.38882599125157,5.91834371310413,2.9738641736323,48.460307476254,-1.08480640510603,-1.46244418104819,-0.112461032331031,0.969901717623158,0.929025316263692,1.01065173345479,0.0319558256032298,0.326,0.0603218582946025,0.24925,"metaG","core",0
143,10.5328304534787,332,0.0011676786548341,2.40299088272097,1.73163854959438,3.62935348396383,2.61826524430731,1.5252637060662,6.24743496855067,-1.50764083224141,-1.87500974647173,-1.03880477184848,0.976359496485585,0.925257061856772,1.03073040243447,0.0303002276607548,0.43875,0.048895628941539,0.3505,"metaG","core",0
144,20.9507151461626,660,0.0007687576875768,1.74245726964248,1.4428246633377,2.19321439454705,3.8217505877248,2.38239471555852,8.4149229388073,-1.16209373309926,-1.43585384320749,-0.764137391234836,1.31778808956453,1.2825862441416,1.35415403634126,0.0147778237314128,0.94425,0.0268236299300696,0.80225,"metaG","core",0
145,39.1977235204576,872,0.0008701116643302,6.73400673400673,3.59561011256419,6.73400673400673,0.0312829847377174,-0.0469622001734447,0.178314516542062,-2.86713236338343,-2.91433398406871,-2.51175145296012,1.8016830961137,1.52956358530156,2.45497867612603,0.0441060198342685,0.00075,0.321763513756427,0.00025,"metaG","core",1
146,20.910771914466,563,0.0006074596039363,3.07292588439675,2.28250779637313,4.63666498727058,0.759021057146701,0.462311835280464,1.23323967215024,-2.00909957140966,-2.29307195373783,-1.74805793567445,1.34220787316943,1.25644691270573,1.47730188607312,0.0513963823253419,0.00025,0.262414413142597,0.00025,"metaG","core",1
147,13.5600803084639,468,0.0002939555392246,2.8709449759779,2.18822085644333,4.16877836198934,1.54276746880073,0.992261077374945,2.54233560021088,-1.80203178776158,-2.09038058378132,-1.52130391018459,1.13753937459886,1.08274411756852,1.20356731977448,0.0427241249074085,0.00725,0.180642726854514,0.00225,"metaG","core",0
148,19.4715030428865,624,0.0006797721844571,2.28450771210026,1.80867940327927,3.0257665683164,1.82775025082966,1.22564722466414,3.0252065059273,-1.60109845836933,-1.83744675953759,-1.32611189549219,1.29102025106523,1.24542460230492,1.34308291282216,0.0289379504931626,0.10075,0.0939974304055504,0.056,"metaG","core",0
149,25.6394149830948,1113,0.0007988815658078,6.73400673400673,4.38955592710821,6.73400673400673,0.437849499307477,0.33439518629925,0.635240001307595,-2.7248331075601,-2.76334634416541,-2.46522691942712,1.49124745125014,1.39208153556706,1.69704910742057,0.0391835624257924,0.00075,0.411961343929127,0.00025,"metaG","core",1
150,16.3269812585084,542,0.0004225610876354,2.51178207101468,1.97518567332078,3.4483578401677,1.84265405553726,1.20721380898086,3.04096722393717,-1.66324028574708,-1.92747224419747,-1.38076800761407,1.20484801563879,1.15862534981746,1.25824040897839,0.0326662422243448,0.06975,0.117141736846681,0.023,"metaG","core",0
151,9.12836603244924,326,0.0008376086273688,6.36365848834604,3.83659461272313,6.73400673400673,1.3782699985596,1.02433862257482,2.29394540821953,-2.26797441357362,-2.37371578865498,-1.8811165745905,0.908177860226757,0.845451582367956,0.989895595660201,0.0341182441514178,0.3575,0.069069943051605,0.2145,"metaG","core",0
152,34.0597563906674,972,0.0004859956516178,5.27048212014494,3.56230656156363,6.73400673400673,0.166161796109352,0.0594080483554394,0.323837468888896,-2.61732860424525,-2.78306385790445,-2.37183648882011,1.75337621103371,1.56893835579224,2.21992922630389,0.0590012682525325,0.00025,0.916928339499721,0.00025,"metaG","core",1
155,484.026586895096,11881,0.0001837222120154,3.43004047547457,3.22363441388334,3.65662300978944,2.16482159538686,1.99445370385049,2.36354509219189,-1.72117197205183,-1.77589718773993,-1.66377933307244,2.5535682734407,2.5444734370662,2.56303656439693,0.040420352549656,0.00025,6.17092525384883,0.00025,"metaG","core",1
158,59.2898681731371,3940,0.0011704119850187,6.73400673400673,4.95839576923015,6.73400673400673,1.28308694963752,1.17489994826907,1.50521890862525,-2.73785802976072,-2.76265555218198,-2.55481088982986,1.58243327012986,1.56085896182454,1.60891973988847,0.0836112334674174,0.00025,7.16787584290231,0.00025,"metaG","core",1
168,16.8042893535554,462,0.000705467372134,2.14867469164697,1.63909248374654,3.05501018378621,1.60320438401171,0.994131586274322,2.85142456148713,-1.59261721817349,-1.89418659237036,-1.27921973291389,1.19974542477738,1.1416268268127,1.26830538488389,0.0310965853187477,0.16675,0.0807167765730418,0.08625,"metaG","core",0
173,1665.60788842412,34929,0.0007228306046478,3.88514620890383,3.68459384384324,4.10934868292656,0.511448567496485,0.478634667879747,0.546220338954741,-2.19221237444777,-2.22859174519966,-2.15657313874143,3.22988149768377,3.2008807239543,3.28923382451246,0.0230455082708425,0.00025,4.30880686218263,0.00025,"metaG","core",1
175,1156.44495541803,12487,0.0002895727485718,5.66099717108626,5.151683434708,6.30061230297718,1.24928653651474,1.15688348961971,1.35434780085649,-2.076710729822,-2.14513405792462,-2.01177896335292,2.67575408116222,2.66214199952716,2.69209238675481,0.0419394002181972,0.00025,7.26345764394769,0.00025,"metaG","core",1
178,9.14421768621813,395,0.0005650297924799,2.65777168350647,1.980324975863,3.88532020478572,2.04068969256722,1.28467858971386,3.86160365549994,-1.77376452047718,-2.09011648231677,-1.41262161007784,0.937157270462641,0.885900862393422,0.990828546183835,0.0357879008972379,0.1075,0.0841269606983367,0.07675,"metaG","core",0
180,48.3537270994877,2027,0.0006270499710592,6.73400673400673,5.06839799223066,6.73400673400673,1.14992669328198,1.01623758146974,1.40265118908012,-2.56689093495077,-2.59791334394298,-2.38192993339485,1.50733884072703,1.47489181706753,1.55094811153149,0.139234989021176,0.00025,10.9696628954093,0.00025,"metaG","core",1
188,3951.10897741048,49504,0.0007530120481927,6.73400673400673,6.17105291990483,6.73400673400673,-0.0171885627203251,-0.0282571415321127,-0.00172863715877656,-2.70203374661689,-2.70773760084737,-2.65388523777656,4.02295236611115,3.80639335485607,4.71434307174934,0.0503269890126159,0.00025,42.1066022203605,0.00025,"metaG","core",1
189,240.50782172071,5536,0.0007245626746713,2.42631644830946,2.2614599071184,2.61061621190387,4.38843518857914,3.71904658925352,5.31655165780191,-1.17520502664188,-1.26936586866237,-1.07101640468743,2.3109150343676,2.30036349875267,2.32162929683116,0.0711851501287918,0.00025,11.9464058938673,0.00025,"metaG","core",1
191,219.775979302326,9644,0.0003541285486631,6.73400673400673,5.91209180872482,6.73400673400673,1.02418821178556,0.967489785461464,1.11970250352814,-2.69027606642104,-2.70397473599337,-2.60968743762033,2.11163979460807,2.09330928992657,2.13468019744661,0.0491378594276255,0.00025,9.79642093601207,0.00025,"metaG","core",1
193,341.222671296216,7625,0.0008702462796971,6.73400673400673,5.67536525766048,6.73400673400673,0.812818334053662,0.754676845248926,0.910440254395985,-2.5943167898155,-2.60954312204621,-2.4912212585842,2.20560578169897,2.17858670911334,2.24886054471535,0.0803667405110713,0.00025,9.87092438784893,0.00025,"metaG","core",1
194,716.659637951877,24605,0.0009202710616581,6.73400673400673,6.26030615878181,6.73400673400673,1.87429781401212,1.81805317335862,1.97984419045355,-2.3469514977041,-2.35671370269807,-2.29731346444683,2.59956487745904,2.59329730168315,2.60621171260086,0.0559707714082506,0.00025,26.1703945836986,0.00025,"metaG","core",1
196,445.42664275593,12164,0.0003246178362745,6.73400673400673,6.02272485667689,6.73400673400673,1.25939019856262,1.1977664167539,1.36024717850892,-2.46620159859597,-2.4796672137461,-2.39607577819843,2.34694370309097,2.33381929768569,2.3625405790569,0.048396516385684,0.00025,8.84496822146727,0.00025,"metaG","core",1
201,779.289473722693,13994,0.0004336983627886,1.2771297861797,1.22913094145837,1.32913084389039,2.62390450353078,2.34329351151878,2.96357155547477,-0.989449952715187,-1.04708097276571,-0.927541323525189,2.84559897434987,2.83614754520799,2.85544627503694,0.0499215085713594,0.00025,12.3107399220654,0.00025,"metaG","core",1
205,4787.69075276488,58640,0.0005075111652456,3.02823998641527,2.93617296173604,3.12693745778439,0.773468071431784,0.740060350063333,0.809774279749586,-1.81093647007223,-1.83530496464084,-1.78641630149304,3.55010020611855,3.53691781687204,3.56982122869459,0.0231147854181317,0.00025,8.09815750715432,0.00025,"metaG","core",1
206,151.440464120515,3915,0.0006650778695338,6.73400673400673,5.36965946971871,6.73400673400673,0.438321825019483,0.379758575154801,0.532474416871582,-2.66042680032084,-2.6819832618704,-2.52398306123009,2.10760889195929,2.03986020059237,2.23963538617796,0.0926395964679801,0.00025,9.91780701421884,0.00025,"metaG","core",1
208,21.2947553736484,847,0.0009186954524575,6.73400673400673,3.70685817814134,6.73400673400673,0.247679150368947,0.145587709178748,0.450793811305824,-2.83932859511528,-2.88397849025122,-2.4925237461089,1.45949512347602,1.30140114416801,1.83534239946658,0.0571936675698187,0.00025,0.901298452755479,0.00025,"metaG","core",1
209,386.506170232564,5936,0.0002632479532471,6.73400673400673,5.577120747035,6.73400673400673,0.363856009514805,0.318447117173563,0.432881725592767,-2.70665294164219,-2.72342576086692,-2.59826570866688,2.32000183751133,2.24691788003541,2.50136941030719,0.0754374065997504,0.00025,9.52346985469416,0.00025,"metaG","core",1
210,66.536834882154,1908,0.0003397473515149,6.73400673400673,4.94251268035234,6.73400673400673,0.351406863852574,0.277596888819914,0.482939310074886,-2.78438280655839,-2.81328421339625,-2.59471370455077,1.75605675775518,1.65415823109824,1.99434847795763,0.126112888120262,0.00025,7.91431595449689,0.00025,"metaG","core",1
7,11.8989283520156,133,0.0005371530886302,2.16823634952174,1.26960854106134,6.34110801720982,0.367262994473994,-0.000583709580096811,1.38757883889388,-1.70968962227622,-2.37133461940186,-1.14318039312638,1.12670569840328,0.894662908170851,1.59513499551955,0.0354064160579735,0.85675,0.0229393151241113,0.88875,"metaT","core",0
11,4.1324747481228,57,0.0054555373704309,0.630719964813025,0.144998134168491,3.55858815145326,5.23657249701995,0.667533400472843,195.443927517956,-0.312041726970726,-1.74426258362846,1.49331801520598,0.612398246250084,0.474830899060629,0.749824567426957,0.0909855405174815,0.0925,0.0768231114352801,0.1175,"metaT","core",0
18,20.864808765236,154,0.0029612081729345,2.07293675578357,1.00726181198655,6.70754534433232,0.272559939972161,-0.0431997893888311,1.18086953579568,-1.56131123605611,-2.25275559559912,-0.919943798102953,1.41746036242039,1.18053022556043,1.92172877886881,0.0532548855904547,0.14,0.0517052907423186,0.2885,"metaT","core",0
22,8.36673178574982,172,0.0009016319538364,1.18931760468057,0.8202153132239,1.83983781033294,2.62744192351431,1.06448905661557,171.515441973049,-0.971940165106744,-1.46391314565353,0.854503178576953,0.92340596476447,0.838544753662356,1.01395133708026,0.0463884165166382,0.2515,0.0451786441118329,0.38525,"metaT","core",0
23,38.2314813960711,228,0.001504244117331,5.33662310690688,2.48066698902306,6.73400673400673,0.0592153524753614,-0.105737896315957,0.391056354657653,-2.22993633467928,-2.436570873863,-1.71615218419422,1.62964547584262,1.33548870833247,2.27990363003631,0.0391678179092222,0.38475,0.0735565862954135,0.171,"metaT","core",0
25,33.4698969308063,245,0.0004859956516178,2.28840016102315,1.56316104634918,4.09611001949915,0.533387588203738,0.181936503592479,1.21874058199645,-1.4651574260424,-1.88279136554609,-1.08206205952581,1.53461727242651,1.38578112343519,1.80458526743972,0.04067791357204,0.20775,0.0792923510186785,0.0955,"metaT","core",0
26,4.36723239565989,174,0.0016626167029031,3.83913153108507,2.09827317087039,6.73400673400673,2.16263738366508,1.21574577620996,6.6973028740595,-1.8841071358831,-2.31393194004958,-1.19646012933053,0.604262534408168,0.537901485717784,0.678826594351144,0.0363285952281397,0.6605,0.0502136386908631,0.33325,"metaT","core",0
30,18.39191800051,190,0.0039460703715882,6.73400673400673,1.84146348607619,6.73400673400673,0.222503002747716,0.0245063394148068,0.788321069394982,-2.32120762166794,-2.42364820056947,-1.52833592671899,1.32180972677937,1.09472554627192,1.79028104798381,0.036812174325005,0.6195,0.0432614997103668,0.5025,"metaT","core",0
36,6.00747504942734,154,0.0002844729492086,1.10294824146234,0.733349521944189,1.81339000012895,1.00080720107425,0.311739168182462,4.85439403088532,-1.44221608419401,-1.92563050849728,-0.720345617498007,0.781799000626291,0.64392938647381,0.971605120059616,0.0745846152686489,0.00625,0.166020819531956,0.0025,"metaT","core",0
38,22.1991113782803,162,0.0053346265761396,3.08465075293382,1.40347243344879,6.73400673400673,0.565834131221129,0.185055887511697,1.7073599498773,-1.5589880314136,-2.0646788223482,-0.917156420300515,1.36447773435469,1.20233595300515,1.65815331753582,0.0753538078348715,0.003,0.183827639563718,0.00125,"metaT","core",0
39,21.7981438772217,189,0.000650547544183,1.03062919725973,0.728921721067115,1.53121770559167,1.22963653077795,0.463914305320818,5.58798951492933,-0.84879099723727,-1.28641662308736,-0.159061208236881,1.34752843205063,1.23111452887575,1.50109604201089,0.0317798231878069,0.781,0.0254100789834624,0.816,"metaT","core",0
